Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,Latitude,Longitude
Kalimantan Barat,KETAPANG,Simpang Hulu,Labai Hilir,12/08/2024,09:34 WIB,NASA-MODIS,Medium,-0.61162,109.92787
Kalimantan Barat,KETAPANG,Hulu Sungai,Kenyabur,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.69322,111.007
Kalimantan Barat,KETAPANG,Hulu Sungai,Sekukun,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.26149,110.77117
Kalimantan Barat,KETAPANG,Hulu Sungai,Senduruhan,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.96459,110.78564
Kalimantan Barat,KETAPANG,Hulu Sungai,Senduruhan,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.96401,110.78944
Kalimantan Barat,KETAPANG,Jelai Hulu,Biku Sarana,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.08919,110.90235
Kalimantan Barat,KETAPANG,Jelai Hulu,Deranuk,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.03639,110.82015
Kalimantan Barat,KETAPANG,Jelai Hulu,Deranuk,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.03639,110.82016
Kalimantan Barat,KETAPANG,Jelai Hulu,Kesuma Jaya,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.92179,110.83543
Kalimantan Barat,KETAPANG,Jelai Hulu,Kusik Batu Lapu,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.01392,110.91177
Kalimantan Barat,KETAPANG,Jelai Hulu,Limpang,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.89416,110.84752
Kalimantan Barat,KETAPANG,Jelai Hulu,Limpang,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.88997,110.84679
Kalimantan Barat,KETAPANG,Jelai Hulu,Semantun,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.08311,110.972
Kalimantan Barat,KETAPANG,Kendawangan,Sungai Jelayan,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.1575,110.47196
Kalimantan Barat,KETAPANG,Kendawangan,Sungai Jelayan,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.1575,110.47197
Kalimantan Barat,KETAPANG,Manis Mata,Sengkuang Merabong,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.20042,110.96654
Kalimantan Barat,KETAPANG,Manis Mata,Sengkuang Merabong,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.20041,110.96654
Kalimantan Barat,KETAPANG,Marau,Bantan Sari,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.13388,110.83392
Kalimantan Barat,KETAPANG,Marau,Bantan Sari,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.13388,110.83393
Kalimantan Barat,KETAPANG,Marau,Batu Payung Dua,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.051,110.5792
Kalimantan Barat,KETAPANG,Marau,Riam Batu Gading,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.11062,110.75807
Kalimantan Barat,KETAPANG,Marau,Riam Batu Gading,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.11062,110.75808
Kalimantan Barat,KETAPANG,Marau,Runjai Jaya,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.08013,110.81793
Kalimantan Barat,KETAPANG,Marau,Runjai Jaya,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.08013,110.81794
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Pesaguan Kanan,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-2.05642,110.39508
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Pesaguan Kanan,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.99124,110.34793
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Pesaguan Kanan,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.9906,110.3521
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Pesaguan Kanan,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.9906,110.35211
Kalimantan Barat,KETAPANG,Nanga Tayap,Betenung,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.56909,110.82416
Kalimantan Barat,KETAPANG,Nanga Tayap,Betenung,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.56909,110.82417
Kalimantan Barat,KETAPANG,Nanga Tayap,Betenung,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.5607,110.82296
Kalimantan Barat,KETAPANG,Nanga Tayap,Kayung Tuhe,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.59109,110.61962
Kalimantan Barat,KETAPANG,Sandai,Pendamaran Indah,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.08982,110.61942
Kalimantan Barat,KETAPANG,Sandai,Pendamaran Indah,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.08922,110.62329
Kalimantan Barat,KETAPANG,Sandai,Pendamaran Indah,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.03992,110.63593
Kalimantan Barat,KETAPANG,Sandai,Randau Jungkal,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.0563,110.66993
Kalimantan Barat,KETAPANG,Sandai,Randau Jungkal,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.0563,110.66994
Kalimantan Barat,KETAPANG,Sandai,Randau Jungkal,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.05571,110.67381
Kalimantan Barat,KETAPANG,Sandai,Randau Jungkal,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.05209,110.66936
Kalimantan Barat,KETAPANG,Sandai,Sandai,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.26585,110.54104
Kalimantan Barat,KETAPANG,Simpang Dua,Kampar Sebomban,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.71073,110.15684
Kalimantan Barat,KETAPANG,Simpang Dua,Kampar Sebomban,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.71073,110.15685
Kalimantan Barat,KETAPANG,Simpang Hulu,Balai Pinang Hulu,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.58055,110.44242
Kalimantan Barat,KETAPANG,Simpang Hulu,Balai Pinang Hulu,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.5612,110.39893
Kalimantan Barat,KETAPANG,Simpang Hulu,Balai Pinang Hulu,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.5521,110.40163
Kalimantan Barat,KETAPANG,Simpang Hulu,Kenanga,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.64006,110.53509
Kalimantan Barat,KETAPANG,Simpang Hulu,Kenanga,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.64006,110.5351
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Hilir,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.60773,110.23795
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Hilir,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.57886,110.25438
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Hilir,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.57824,110.25842
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Hulu,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.52428,110.5848
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Hulu,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.52427,110.5848
Kalimantan Barat,KETAPANG,Simpang Hulu,Legong,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.58661,110.5471
Kalimantan Barat,KETAPANG,Simpang Hulu,Legong,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.5866,110.5471
Kalimantan Barat,KETAPANG,Simpang Hulu,Legong,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.58595,110.54683
Kalimantan Barat,KETAPANG,Simpang Hulu,Merawa,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.54377,110.48486
Kalimantan Barat,KETAPANG,Simpang Hulu,Semandang Hulu,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.58541,110.46702
Kalimantan Barat,KETAPANG,Simpang Hulu,Semandang Hulu,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.548,110.48547
Kalimantan Barat,KETAPANG,Simpang Hulu,Semandang Hulu,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.54739,110.48946
Kalimantan Barat,KETAPANG,Simpang Hulu,Semandang Hulu,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.54739,110.48947
Kalimantan Barat,KETAPANG,Sungai Laur,Harapan Baru,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.64554,110.55566
Kalimantan Barat,KETAPANG,Sungai Laur,Tanjung Maju,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.67069,110.47585
Kalimantan Barat,KETAPANG,Sungai Laur,Tanjung Maju,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-0.67068,110.47585
Kalimantan Barat,KETAPANG,Sungai Melayu Rayak,Sungai Melayu,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.81444,110.45193
Kalimantan Barat,KETAPANG,Tumbang Titi,Nanga Kelampai,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.89583,110.5732
Kalimantan Barat,KETAPANG,Tumbang Titi,Petebang Jaya,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.88278,110.75019
Kalimantan Barat,KETAPANG,Tumbang Titi,Segar Wangi,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.87503,110.51748
Kalimantan Barat,KETAPANG,Tumbang Titi,Segar Wangi,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.87503,110.51749
Kalimantan Barat,KETAPANG,Tumbang Titi,Segar Wangi,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.85968,110.53175
Kalimantan Barat,KETAPANG,Tumbang Titi,Titi Baru,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.86393,110.61875
Kalimantan Barat,KETAPANG,Tumbang Titi,Titi Baru,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.86332,110.62273
Kalimantan Barat,KETAPANG,Tumbang Titi,Titi Baru,12/08/2024,12:40 WIB,NASA-NOAA20,Medium,-1.86254,110.6216
Kalimantan Barat,KETAPANG,Jelai Hulu,Air Dua,12/08/2024,13:57 WIB,NASA-SNPP,Medium,-1.97374,110.82048
Kalimantan Barat,KETAPANG,Jelai Hulu,Air Dua,12/08/2024,13:57 WIB,NASA-SNPP,Medium,-1.97374,110.82049
